Time Elapsed (s),Distance Between Both Masses (m),Distance of Star 1 from Barycenter (m),Distance of Star 2 from Barycenter (m),Scalar Velocity of Star 1 (m/s),Scalar Velocity of Star 2 (m/s),Kinetic Energy of Star 1 (J),Kinetic Energy of Star 2 (J),Total Kinetic Energy (J),Gravitational Potential Energy (J),Total Mechanical Energy (J),Acceleration of Star 1 (m/s^2),Acceleration of Star 2 (m/s^2),Relative Acceleration (m/s^2),Angular Velocity of Star 1 (rad/s),Angular Velocity of Star 2 (rad/s)
0.0,3590400000000.0,2395802208096.3535,1194597791903.6467,8323.0315901699,4150.040068400082,6.889185414928576e+37,3.435093955952103e+37,1.0324279370880679e+38,-1.4748970529829545e+38,-4.424691158948863e+37,2.065304491356531e-05,1.0298046210348807e-05,3.0951091123914115e-05,3.4740061437639206e-09,3.4740061437639206e-09
9227538.860421475,3590927010526.7646,2396153871694.7583,1194773138832.0066,8322.15904285778,4149.604997804995,6.887741031337911e+37,3.4343737556608437e+37,1.0322114786998754e+38,-1.4746805945947618e+38,-4.424691158948863e+37,2.0646983206745395e-05,1.0295023714769764e-05,3.094200692151516e-05,3.473132147799699e-09,3.473132147799699e-09
18455077.72084295,3592507191800.2583,2397208295097.2285,1195298896703.0303,8319.543795299704,4148.3009799075235,6.883412751261929e+37,3.4322155834193978e+37,1.0315628334681327e+38,-1.474031949363019e+38,-4.424691158948863e+37,2.0628823854999662e-05,1.0285969076859947e-05,3.091479293185961e-05,3.470513518710426e-09,3.470513518710426e-09
27682616.581264425,3595137997937.995,2398963779487.2305,1196174218450.765,8315.193010703117,4146.13158643482,6.876215141381711e+37,3.4286267024838856e+37,1.0304841843865597e+38,-1.472953300281446e+38,-4.424691158948863e+37,2.059864388429208e-05,1.0270920703398582e-05,3.0869564587690664e-05,3.4661602987938644e-09,3.466160298793864e-09
36910155.4416859,3598815202528.1914,2401417504664.596,1197397697863.5955,8309.118561658886,4143.102737312491,6.866172328970987e+37,3.423619143224691e+37,1.0289791472195677e+38,-1.4714482631144541e+38,-4.424691158948863e+37,2.0556570743035686e-05,1.0249942142867378e-05,3.080651288590306e-05,3.460089112167696e-09,3.4600891121676956e-09
46137694.30210738,3603532923484.1543,2404565545630.3604,1198967377853.7944,8301.336932177126,4139.222651817575,6.853317778978953e+37,3.4172095919752175e+37,1.027052737095417e+38,-1.4695218529903035e+38,-4.424691158948863e+37,2.050278092967922e-05,1.0223121401136116e-05,3.072590233081533e-05,3.4523229975005394e-09,3.4523229975005407e-09
55365233.16252885,3609283657377.8315,2408402895496.8506,1200880761880.9814,8291.86908283964,4134.501781340698,6.837693987607364e+37,3.4094192382429303e+37,1.0247113225850295e+38,-1.4671804384799155e+38,-4.424691158948863e+37,2.043749811041123e-05,1.0190570002909985e-05,3.0628068113321216e-05,3.4428911783586927e-09,3.442891178358693e-09
64592772.02295032,3616058322803.003,2412923494423.0815,1203134828379.9219,8280.740281293589,4128.95272486662,6.819352097840392e+37,3.4002735830043967e+37,1.021962568084479e+38,-1.464431683979365e+38,-4.424691158948863e+37,2.0360990764531314e-05,1.0152421817661767e-05,3.051341258219308e-05,3.4318287755217344e-09,3.431828775521735e-09
73820310.8833718,3623846312208.3086,2418120264201.898,1205726048006.4114,8267.979900839262,4122.590128545824,6.798351443665826e+37,3.3898022114443033e+37,1.0188153655110129e+38,-1.4612844814058995e+38,-4.424691158948863e+37,2.027356940365879e-05,1.0108831673070275e-05,3.0382401076729064e-05,3.4191764666295926e-09,3.4191764666295926e-09
83047849.74379328,3632635551542.7593,2423985148060.2324,1208650403482.5273,8253.621190318661,4115.430570956084,6.774759030813422e+37,3.3780385340405863e+37,1.0152797564854009e+38,-1.4577488723802871e+38,-4.424691158948863e+37,2.0175583418126322e-05,1.005997378256537e-05,3.0235557200691692e-05,3.404980099372115e-09,3.404980099372116e-09
