Time Elapsed (s),X Position (m),Y Position (m),Eccentric Anomaly (rad),Orbital Radius (m),Orbital Velocity (m/s),Gravitational Potential Energy (J),Kinetic Energy (J),Mechanical Energy (J)
0.0,147101680000.0,0.0,0.0,147101680000.0,30040.796064316317,-5.389427985078077e+33,2.6947139925390387e+33,-2.6947139925390387e+33
105532.400493696,147067519106.00922,3196392079.0491843,0.021370863944999846,147102250486.92966,30040.73781266459,-5.389407083982318e+33,2.694703541991159e+33,-2.694703541991159e+33
211064.800987392,146965053084.67175,6391299607.843438,0.04274156214494836,147103961669.486,30040.563088151957,-5.389344391861138e+33,2.694672195930568e+33,-2.6946721959305693e+33
316597.201481088,146794331907.47833,9583238829.197897,0.0641119289433748,147106812713.1451,30040.271982083144,-5.389239942203968e+33,2.6946199711019833e+33,-2.6946199711019845e+33
422129.601974784,146555438825.53278,12770727571.582037,0.08548179886185996,147110802227.61362,30039.86464655633,-5.389093790797014e+33,2.6945468953985064e+33,-2.6945468953985075e+33
527662.00246848,146248490317.58374,15952286039.737253,0.10685100668460627,147115928267.69635,30039.341294348837,-5.388906015679074e+33,2.6944530078395366e+33,-2.694453007839538e+33
633194.402962176,145873636017.2223,19126437604.809776,0.12821938755217313,147122188334.5124,30038.702198757095,-5.388676717079689e+33,2.6943383585398446e+33,-2.6943383585398446e+33
738726.803455872,145431058619.5451,22291709590.49902,0.14958677704501946,147129579377.0536,30037.94769339149,-5.388406017339873e+33,2.6942030086699365e+33,-2.6942030086699365e+33
844259.203949568,144920973767.1988,25446634056.971416,0.17095301127267495,147138097794.08777,30037.078171926056,-5.388094060815402e+33,2.6940470304077004e+33,-2.6940470304077016e+33
949791.604443264,144343629916.02103,28589748580.743828,0.19231792696055083,147147739436.40244,30036.094087803554,-5.387741013762887e+33,2.6938705068814436e+33,-2.6938705068814436e+33
1055324.00493696,143699308180.39536,31719597030.25605,0.21368136153653008,147158499609.3874,30034.99595389624,-5.387347064208766e+33,2.6936735321043826e+33,-2.693673532104384e+33
1160856.405430656,142988322158.48715,34834730336.4899,0.23504315321700442,147170373075.95328,30033.78434212285,-5.386912421801407e+33,2.693456210900703e+33,-2.693456210900703e+33
1266388.805924352,142211017737.54672,37933707258.038956,0.25640314109229173,147183354059.78296,30032.459883022293,-5.386437317646552e+33,2.6932186588232755e+33,-2.6932186588232767e+33
1371921.206418048,141367772879.48642,41015095140.04111,0.277761165211368,147197436248.91257,30031.023265284646,-5.385922004126324e+33,2.6929610020631626e+33,-2.6929610020631614e+33
1477453.606911744,140458997386.95685,44077470666.39529,0.29911706666585036,147212612799.63782,30029.475235240105,-5.385366754702084e+33,2.692683377351042e+33,-2.692683377351042e+33
1582986.0074054399,139485132650.161,47119420604.720695,0.32047068767336123,147228876340.7423,30027.816596306573,-5.384771863701387e+33,2.6923859318506936e+33,-2.6923859318506936e+33
1688518.407899136,138446651374.75427,50139542543.25253,0.3418218716584651,147246218978.0416,30026.048208396714,-5.38413764608942e+33,2.692068823044709e+33,-2.6920688230447104e+33
1794050.808392832,137344057290.78864,53136445620.0832,0.3631704633378742,147264632299.24384,30024.170987284826,-5.383464437225033e+33,2.6917322186125157e+33,-2.691732218612517e+33
1899583.208886528,136177884843.72513,56108751242.12155,0.38451630879506665,147284107379.10977,30022.185903935515,-5.382752592602173e+33,2.6913762963010866e+33,-2.6913762963010866e+33
2005115.609380224,134948698866.84778,59055093796.0865,0.4058592555643547,147304634784.92365,30020.093983793406,-5.382002487576454e+33,2.691001243788226e+33,-2.6910012437882273e+33
2110648.00987392,133657094236.27408,61974121348.57558,0.42719915270698994,147326204582.2542,30017.896306036382,-5.381214517077799e+33,2.6906072585388987e+33,-2.6906072585389e+33
2216180.410367616,132303695508.45352,64864496336.0276,0.4485358508885676,147348806341.00882,30015.594002792375,-5.380389095309261e+33,2.69019454765463e+33,-2.690194547654631e+33
2321712.810861312,130889156540.66484,67724896243.69771,0.469869202454832,147372429141.7709,30013.188258321163,-5.379526655432542e+33,2.68976332771627e+33,-2.6897633277162714e+33
2427245.2113550077,129414160094.87871,70554014273.23253,0.4911990615062087,147397061582.41553,30010.68030816209,-5.378627649240603e+33,2.6893138246203016e+33,-2.6893138246203016e+33
2532777.611848704,127879417425.38432,73350559998.39583,0.5125252839710145,147422691784.9961,30008.07143824881,-5.37769254681786e+33,2.68884627340893e+33,-2.68884627340893e+33
2638310.0123424,126285667850.5931,76113260008.51059,0.5338477276772948,147449307402.8951,30005.362983992316,-5.376721836188386e+33,2.688360918094193e+33,-2.688360918094193e+33
2743842.412836096,124633678309.4447,78840858539.20142,0.5551662524232449,147476895628.23227,30002.556329333223,-5.375716022952624e+33,2.6878580114763116e+33,-2.687858011476313e+33
2849374.813329792,122924242902.85394,81532118090.03659,0.5764807200461669,147505443199.52234,29999.65290576468,-5.374675629913075e+33,2.687337814956537e+33,-2.687337814956538e+33
2954907.213823488,121158182420.6472,84185820028.68755,0.5977909944899219,147534936409.5752,29996.65419132706,-5.373601196689483e+33,2.686800598344741e+33,-2.686800598344742e+33
3060439.614317184,119336343854.44829,86800765181.242,0.6190969418708371,147565361113.6307,29993.561709575635,-5.372493279324e+33,2.686246639662e+33,-2.686246639662e+33
3165972.0148108797,117459599896.98384,89375774408.3231,0.6403984305420269,147596702737.72037,29990.377028522595,-5.371352449876854e+33,2.685676224938426e+33,-2.6856762249384274e+33
3271504.415304576,115528848428.28624,91909689166.68747,0.661695331156094,147628946287.24762,29987.101759554644,-5.370179296013052e+33,2.6850896480065253e+33,-2.6850896480065264e+33
3377036.815798272,113545011989.28123,94401372055.99232,0.6829875167261732,147662076355.779,29983.737556327455,-5.368974420580622e+33,2.684487210290311e+33,-2.684487210290311e+33
